Shipment_ID,Customer_Name,Contact_Phone,Origin,Destination,Order_Date,Delivery_Date,Weight_kg,Status
SHP-459315,Keith Knox,7163022531,Thomasburgh,South Marvinburgh,2025-11-09,2025-11-20,-496.4823209975838,Delivered
SHP-783157,,4482141802,,South Michaelmouth,2025-11-12,2025-11-17,83.8,Delivered
SHP-803787,Heidi Owen,1651662547,North Douglas,Johnsonland,2025-10-10,2025-10-23,283.61,Pending
SHP-130271,Lisa Allen,8616379926,West Andrea,,2026-01-05,2026-01-11,322.53,Cancelled
SHP-944962,Jay Ramirez,7831113321,Port Matthew,,2026-03-01,2026-03-02,19.75,In Transit
SHP-711680,Anthony Simpson,5686850445,Mitchelltown,South Dennisview,2026-04-18,2026-04-24,207.13,Pending
SHP-605719,Ethan Villanueva,2014911848,,Raymondshire,2025-08-29,2025-09-09,63.52,Pending
SHP-880009,Angela Jackson,4106464319,North Calebfort,North Kellihaven,2026-05-03,2026-05-10,130.96,Delivered
SHP-803953,Joseph Horton,3075362821,Hernandezfurt,Port Amanda,2025-10-11,2025-10-15,193.78,Pending
SHP-761338,Michael Smith,9033293776,Brooksfort,Smithside,2026-02-09,2026-02-22,-68.38232099758382,Delivered
SHP-454349,Jason House,3420721027,Port Patriciamouth,South Adam,2026-04-22,2026-05-06,432.57,Delivered
SHP-223172,Brittany Cantu,1118543408,Williamview,Davenportfort,2025-10-13,2025-10-18,93.39,Pending
SHP-404466,Sarah Joseph,1322401182,Port Michael,North Tracie,2026-05-14,2026-05-15,207.22,Cancelled
SHP-350484,Renee Mendez,6170675398,Port Willie,,2026-02-15,2026-02-24,388.61,Cancelled
SHP-717466,Jordan Ramos,2401777036,East Nicoleview,North Jack,2025-07-31,2025-08-11,140.3,Cancelled
SHP-841296,Scott Jones,9155819200,West Kristin,South Danny,2025-10-05,2025-10-09,342.62,Delivered
SHP-199326,Robert Taylor,8334179373,North Mariabury,,2025-12-01,2025-11-26,264.41,In Transit
SHP-520106,Kelly Dawson,4765583254,Port Lorifort,Smithhaven,2025-10-29,2025-10-30,152.7,Delivered
SHP-700067,Christopher Nielsen,2236045959,Greeneshire,Lake Jessicaport,2025-08-12,2025-08-22,339.93,Cancelled
SHP-418862,Terri Mason,4713453204,Kimton,Navarroview,2025-07-20,2025-08-02,406.33,Cancelled
SHP-531319,Joseph Hill,5151086814,Andrechester,North Samantha,2026-01-30,2026-02-13,339.78,
SHP-941814,Katelyn Phillips,5756663747,West Willie,East Teresaside,2026-02-02,2026-02-05,441.82,Pending
SHP-238741,Lindsay Smith,7627266377,Charleneport,Rodneyfurt,2026-06-06,2026-06-11,23.13,In Transit
SHP-630538,Alexandria Fisher,6320115677,Garciastad,Zimmermanchester,2025-09-16,2025-09-23,-76.15232099758383,Pending
SHP-711248,Victor Hill,2420277403,South Sarah,West Gregoryhaven,2025-08-20,2025-09-01,,Pending
SHP-660081,Angel Brown,,Heidiberg,Garciatown,2026-02-18,2026-02-14,6.76,In Transit
SHP-814919,Carolyn Miller,6600100279,Harveybury,Durhamberg,2025-10-08,2025-10-12,217.79,Pending
SHP-746901,Andrew Jones,4562272871,Christianborough,North Jessicaside,2025-12-07,2025-12-08,137.89,Delivered
SHP-783226,Deborah Herrera,9434946584,,South Andrea,2026-02-11,,146.28,Delivered
SHP-420214,James Thomas,7072283057,Barnesberg,Hendersonfort,2026-03-14,2026-03-28,229.48,cancelled
SHP-824586,Kimberly Davenport,3361388464,,Michaelton,2026-06-24,2026-06-29,266.2,Cancelled
SHP-602351,Ronald Nelson,6341783555,Derrickshire,East Brent,2026-06-26,2026-07-05,76.6,In-Transit
SHP-921273,Mary Turner,7099469983,North Yolandafurt,Parksfort,2026-04-13,,294.12,Delivered
SHP-214975,Christopher Becker,8995970241,South Patrickmouth,Tashatown,2026-03-31,2026-04-10,-106.55232099758383,Delivered
SHP-561097,,7311011808,Holtstad,Lauriechester,2025-08-10,2025-08-18,173.65,Delivered
SHP-710156,Patricia Lewis,3923699745,New Jorgeside,Valdezberg,2025-11-29,2025-11-30,,Delivered
SHP-819050,Elizabeth Stanley,4159699467,Cindyberg,Rivasville,2026-01-25,2026-02-02,261.28,Delivered
SHP-735863,Sandra Leach,1198486416,New Laurie,Lake James,2025-10-15,2025-10-23,307.58, Pending
SHP-578975,Janet Weeks,1164313410,Port Chad,Morganhaven,2025-10-22,2025-11-01,220.11,Pending
SHP-387748,Jason Clark,5647317872,New Brian,South Jenniferport,2025-12-23,2025-12-26,193.1,In Transit
SHP-786594,Mr. Andrew Hill,3019214800,New Charlotte,Williamsmouth,2026-04-04,2026-04-15,196.51,Pending
SHP-119651,Blake Edwards,3668616333,Berrychester,Dariustown,2025-11-13,2025-11-17,,Delivered
SHP-592296,Deborah Hanson,7473041886,Santosmouth,Finleyfort,2026-06-14,2026-06-25,207.15,Cancelled
SHP-431699,Caroline Edwards,3893976444,Lake Jodi,Hillstad,2025-08-31,2025-09-07,-300.3023209975838,Delivered
SHP-424314,Mitchell Mendoza,2950049698,Hammondshire,East Teresaland,2026-01-01,2026-01-12,-126.91232099758383,Pending
SHP-916332,Heidi Herring,2065972034,New Ericmouth,Nathanland,2026-02-18,2026-02-27,383.4,In-Transit
SHP-761338,Michael Smith,9033293776,Brooksfort,Smithside,2026-02-09,2026-02-22,-68.38232099758382,Delivered
SHP-153063,James Gilbert,4248149900,Port Rachel,Sarahmouth,2025-09-22,2025-09-30,261.89,
SHP-752878,Lori Wolf,1957449367,West Andrea,Samuelfort,2025-08-26,2025-09-06,100.6,Pending
SHP-465648,Daniel Turner,6523804237,Silvatown,Annaport,2025-11-03,2025-11-17,391.52,Pending
SHP-778428,Kristine Newman,7824071339,Rasmussenmouth,Rodriguezville,2025-10-18,2025-10-19,91.25,Delivered
SHP-841296,Scott Jones,9155819200,West Kristin,South Danny,2025-10-05,2025-10-09,342.62,Delivered
SHP-770487,Patrick Sanchez,3746317213,Lake Curtis,New Roberttown,2025-08-15,2025-08-16,372.07,In Transit
SHP-660081,Angel Brown,,Heidiberg,Garciatown,2026-02-18,2026-02-14,6.76,In Transit
SHP-624776,Zachary Webb,3641863774,Robertland,Port Sheliaberg,,2025-12-04,392.7,Pending
SHP-413833,Steven Wilkins,7951902330,Bridgesland,Thomasville,2026-04-06,2026-03-31,126.99,Delivered
SHP-626199,Michael Gill,8823677798,,Pearsonborough,2026-02-13,2026-02-25,322.64,Cancelled
SHP-648615,Amanda Pace,4928783441,Port Anthony,South Jameston,2026-02-17,2026-02-26,209.28,
SHP-274573,Louis Brown,3521300895,South Maria,Davishaven,2025-08-23,2025-09-05,411.24,Cancelled
SHP-213346,Andrew Ruiz,7517938612,Port Samantha,Kevinbury,2025-10-04,,127.71,Delivered
SHP-304206,,6733962236,New Gavin,West Johntown,2025-09-09,2025-09-17,494.6,Cancelled
SHP-357724,Kathleen Andrade,2431779064,Brownview,Taylorborough,2026-03-16,2026-03-26,333.49,Pending
SHP-770487,Patrick Sanchez,3746317213,Lake Curtis,New Roberttown,2025-08-15,2025-08-16,372.07,In Transit
SHP-854639,Jonathan White,4673561638,Port Colleenhaven,East Nathaniel,2025-09-11,2025-09-25,55.0,Pending
SHP-720647,Jessica Brandt,2232986477,West Jose,Sarafurt,2026-04-08,2026-04-19,432.8,Delivered
SHP-853305,Mr. Daniel Brown,5047709743,Lake Leeton,Shawhaven,2025-09-09,2025-09-20,361.76,Pending
SHP-355671,Melanie Flores,5512036684,South Jonathanport,New Lynnstad,2026-01-26,2026-02-03,300.77,Cancelled
SHP-970127,Christine Robinson,3319936135,West Kim,West Micheleberg,2025-08-29,2025-09-01,79.66,Cancelled
SHP-481995,Cynthia Wallace,3094011037,Karenmouth,New John,,2026-05-26,399.93,Pending
SHP-499889,Laura Haney,2333241445,Andrewfurt,Alanton,2026-06-29,2026-07-12,-109.94232099758382,cancelled
SHP-613989,Colin Vaughan,8211516617,Smithbury,East Jessica,2026-02-24,2026-03-02,189.15,Delivered
SHP-745239,Bobby Scott,7575259637,New Shelby,Rodriguezport,2025-10-10,2025-10-17,498.33,
SHP-256130,Manuel King,2570991899,Josephfurt,West Susanmouth,2026-02-14,2026-02-27,200.31,Pending
SHP-502206,Paul Finley,7829772942,Brandishire,West Desireebury,2025-08-03,,54.68,Cancelled
SHP-631971,Katie Smith,,Williamsfurt,Jontown,2025-11-26,2025-12-08,244.68,Pending
SHP-107686,,8575707116,Port Gina,East Amandachester,2026-03-18,2026-03-24,27.39,Delivered
SHP-551989,Jason Shields,1599707677,Lake Deniseville,South Jessicaville,,2025-10-26,282.88,Pending
SHP-538897,Norman Aguilar,7431813987,West Jessica,Lake Amanda,2026-05-11,2026-05-24,262.04,Delivered
SHP-560623,Katherine Nguyen,1182758417,Claychester,Parsonsfurt,2026-04-16,2026-04-20,451.13,Cancelled
SHP-765905,Denise Weber,1256143439,New Danielleshire,East Donna,2026-04-16,2026-04-29,157.27,Pending
SHP-781446,Steven Hayes,,East Caleb,,2025-10-03,2025-10-14,165.52,Delivered
SHP-629146,,3464975279,South Nancyview,New Virginiaville,2026-03-21,2026-03-30,186.64,Pending
SHP-400850,Richard Lawson,7114223633,Stevenmouth,New Thomas,2026-06-25,2026-06-18,432.6,Delivered
SHP-720859,Lori Garcia,9309500117,Melissaville,West Amandastad,2025-08-06,2025-08-10,336.51,Pending
SHP-944962,Jay Ramirez,7831113321,Port Matthew,,2026-03-01,2026-03-02,19.75,In Transit
SHP-527398,John Brown,4875962612,Priceshire,Port Nicoleshire,2025-12-05,2025-12-03,192.59,Cancelled
SHP-272537,Roger Olson,4803044105,Juliemouth,South Sydneyberg,2026-04-29,2026-05-12,215.45,In-Transit
SHP-854388,Evan Hobbs,3426665919,Port Lucaschester,Turnerview,2025-09-07,2025-09-06,116.8,Delivered
SHP-918859,Jessica Perez,2931000173,Kariside,Port Jenny,2025-09-23,2025-09-26,52.92,Pending
SHP-804737,Matthew Graves,2854772804,South Kara,Sarahland,2026-05-04,2026-05-15,295.01,Cancelled
SHP-847078,David Moreno,1050899550,Tracyburgh,West Gabriellestad,2026-03-10,2026-03-19,362.49,Pending
SHP-179184,Sheryl Davis,1124352982,Heatherstad,Clementsmouth,2026-02-21,2026-02-26,352.84,Pending
SHP-853305,Mr. Daniel Brown,5047709743,Lake Leeton,Shawhaven,2025-09-09,2025-09-20,361.76,Pending
SHP-791567,Carla Thomas,9479654136,South Kylemouth,Courtneyville,2026-06-24,2026-06-25,53.35,In Transit
SHP-454861,Yolanda Garrett,8809893329,West Deannaside,East Tonymouth,2026-02-12,2026-02-16,154.37,cancelled
SHP-377075,Kevin Scott,4875395503,Stevenberg,East Sarahton,,2026-05-20,167.08,Pending
SHP-913185,John Wong,4600630513,Josehaven,Owensfort,2026-05-02,2026-05-13,53.1,Delivered
SHP-976735,,8084809436,Martinezview,Milesborough,2026-04-06,2026-03-31,-486.8323209975838,Delivered
SHP-239850,Lance Tanner,3074232200,Meganside,Jenniferside,2026-03-13,,404.64,Cancelled
SHP-165046,Elizabeth Molina,8991977937,West Lisaville,Lake Deborah,2025-12-08,2025-12-15,69.73,Pending
SHP-694116,Olivia Ayers,2548781344,New Kimberlyport,Natalieview,2025-12-06,2025-12-15,274.32,Delivered
SHP-140932,Kim Goodwin,,South Donnaside,Port Erikachester,2026-01-29,2026-01-21,453.07,In Transit
SHP-779094,Derek Thomas,9051829827,East Laurashire,Scottmouth,2026-04-03,2026-04-13,375.99, Pending
SHP-593894,Patricia Smith,8757570742,North Joseton,Port Raymondport,2026-03-11,,201.55,Delivered
SHP-824586,Kimberly Davenport,3361388464,,Michaelton,2026-06-24,2026-06-29,266.2,Cancelled
SHP-660957,William Campbell,7579604766,Lake Samuel,East Christophertown,2026-01-18,2026-02-01,118.68,Cancelled
SHP-617904,Brandi Gordon,7750819485,Jamesville,Franciscomouth,,,428.73,PENDING
SHP-949153,Chelsea Jacobs,9886101513,North Shannon,Toniland,2026-01-22,2026-02-02,173.91,Cancelled
SHP-719489,Roy Johnson,6656646925,East Ashleyburgh,Lake William,2026-06-21,2026-06-27,-288.8123209975838,Pending
SHP-405605,Mackenzie Faulkner,2432410914,West Nicholas,Diazshire,2025-09-26,2025-09-21,394.55, delivered 
SHP-720970,Aaron Lewis,5836956044,Karenland,Port Monicaburgh,2025-11-29,2025-12-09,318.37,cancelled
SHP-669576,William Cardenas,8324687182,West Bobby,West Sandraview,2026-04-26,2026-04-23,418.19,Cancelled
SHP-418862,Terri Mason,4713453204,Kimton,Navarroview,2025-07-20,2025-08-02,406.33,Cancelled
SHP-800596,Joshua Arellano,2237386857,New Bruce,Cardenaschester,2026-02-03,2026-02-08,-71.68232099758383,In Transit
SHP-928580,Eric Pierce,1443639751,North Ginamouth,Ramseytown,2026-05-29,2026-05-31,180.19,Delivered
SHP-394247,Brenda Ryan,4098389895,Jessicaland,North Melissatown,2026-05-22,2026-06-01,242.82, delivered 
SHP-342716,Kelly Haynes,5613613759,Stephenland,New Dennisfurt,2025-08-08,2025-08-16,228.7,Delivered
SHP-349119,,5364727160,Andrewport,Juanfort,2026-06-08,2026-06-06,38.44,In Transit
SHP-629678,Joshua Powell,3136189070,Jeffreyborough,Markport,2025-10-03,2025-10-05,472.89,Cancelled
SHP-817659,Arthur Mcneil,,Michelleview,Jacobhaven,2026-05-03,2026-05-16,187.17,Cancelled
SHP-780956,,8126571968,West Toddside,East Jamesmouth,2026-02-13,2026-02-14,8.27,cancelled
SHP-300896,Jerry Henderson,7801222128,,Mortonside,2025-08-17,2025-08-12,113.56,In Transit
SHP-398987,Stephanie Stewart,6582557981,Murphyport,New Ashley,2026-05-20,2026-06-03,-19.612320997583822,Pending
SHP-869440,Marie Gilbert,7258731893,Marshallshire,Marcusbury,2026-05-29,2026-06-11,468.19,Delivered
SHP-716225,Sara Black,7915226263,Kaufmanbury,Gomezstad,2026-01-15,2026-01-19,478.88,PENDING
SHP-819622,Maria Aguilar,6857897124,Samanthaland,North Jamesmouth,2026-05-20,2026-05-25,196.77,Pending
SHP-327114,Willie Dillon,5924077461,East Maria,Port Brandi,2026-05-04,2026-04-30,147.38,Delivered
SHP-927524,Denise Marshall,2602884797,North Paulview,Michelletown,2025-11-01,2025-11-11,320.68,Cancelled
SHP-205345,Bryce Blair,2324651201,Sylviamouth,East Joshua,2025-08-12,2025-08-16,200.66,Delivered
SHP-480573,Michael Acosta,4177181331,South Andrea,Port Georgemouth,2026-02-15,2026-02-28,,Delivered
SHP-906325,Martin Daniel,5492496998,Brooksfurt,Kanefurt,2025-12-03,,32.78,Pending
SHP-776856,Eugene Walton,3615507143,North Stephenshire,North Amandahaven,2025-10-21,2025-10-24,190.09,In Transit
SHP-139807,,3261436148,Smithborough,West Jennifer,2026-07-02,2026-07-13,171.7,In Transit
SHP-519066,,2811967841,Port Ronaldburgh,Williamsbury,2026-07-01,2026-07-06,234.0,Delivered
SHP-192295,Jillian Wilson,4728940550,,South Robertside,,2026-02-22,66.46,In Transit
SHP-735605,,,West Raymond,Taramouth,2026-05-18,2026-05-29,275.06,Pending
SHP-114400,Robert Torres,4282810353,Johnsonborough,,2026-04-27,2026-05-04,73.06,In Transit
SHP-541119,Andrew Moreno,3739951076,Port Timothy,Bellshire,2025-08-17,,54.6,Pending
SHP-995296,Traci Vincent,4804440746,Lake Jamie,Palmertown,2026-01-10,,467.02,DELIVERED
SHP-245622,Johnny Ward,2250949136,Tannerside,New Nicole,2025-08-04,2025-08-08,147.61,
SHP-528625,Meghan Williams,8854238082,Cameronville,Mitchellberg,2025-11-16,2025-11-28,80.73,
SHP-474795,Yvonne Dickson,2554039848,East Dianeview,Port Wendybury,2026-02-18,2026-02-24,157.89, Pending
SHP-224052,Margaret Montgomery,,Lake Melaniestad,West Kristinport,2026-03-02,2026-03-08,398.47,
SHP-672808,Raymond Le,1400330495,Chelseaborough,West Angela,2025-10-05,2025-10-19,456.9,Cancelled
SHP-475190,David Garcia,5141907136,Dicksonberg,Port Francisco,2026-05-17,2026-05-26,378.86,In Transit
SHP-575682,Jacob Griffith,7247886041,North Ericton,West Scottchester,2026-01-15,2026-01-21,-388.1823209975838,Cancelled
SHP-499974,Jeremy Baker,5376588372,Bakerview,East Karenville,2025-08-12,2025-08-16,418.31,Cancelled
SHP-244789,Kristina Bolton,4048494026,Foxmouth,South Rhonda,2025-11-20,2025-11-25,277.67,PENDING
SHP-349136,Rebecca Horton,5751023835,South Paulmouth,North Juliaborough,2026-03-08,2026-02-28,235.9,Pending
SHP-292988,,4566852761,New Arthurland,Port Adamberg,2026-06-02,,-463.8223209975838,Cancelled
SHP-190872,Jerry Christensen,,Rogersfort,Hunterborough,2025-11-25,2025-11-27,-277.5023209975838,Pending
SHP-193670,Ashley Edwards,7193532615,Derrickberg,North Alyssa,2025-07-13,2025-07-18,111.71,Delivered
SHP-185965,Kevin Mills,8385972235,Jamesmouth,West Randy,2026-03-28,2026-04-06,382.17,Delivered
SHP-665427,Timothy Duncan,7439149233,Sanchezfort,Leeville,2026-03-23,2026-04-03,232.13,Pending
SHP-464825,,4717261214,Samanthashire,Lake Dennisville,2025-10-11,2025-10-18,228.52,In Transit
SHP-647957,Terry Evans,3343292475,Torreston,Port Jaredborough,2025-10-21,2025-11-04,,In Transit
SHP-102593,Sarah Davis,9252940807,Reidstad,Port Amandaborough,2025-12-24,2025-12-30,8.02,In Transit
SHP-970127,Christine Robinson,3319936135,West Kim,West Micheleberg,2025-08-29,2025-09-01,79.66,Cancelled
SHP-463546,Rachel Le,2554145481,West David,Jessicaville,2026-05-06,2026-05-13,423.02,In Transit
SHP-772925,Mary Fox,5870891270,Brandonbury,North Sarahborough,2026-03-22,2026-03-17,131.22,Pending
SHP-141406,Mr. Edward Terry,8210176888,New Jacob,Mariomouth,2025-10-25,2025-11-03,250.33,Pending
SHP-336574,Misty Whitney,2995226582,Christopherfurt,West Amandamouth,2025-11-30,2025-12-09,128.35,PENDING
SHP-906066,Kenneth Nichols,4716265973,East Robertburgh,Port Randyfort,2025-09-20,2025-09-28,271.6,Pending
SHP-547080,Crystal Sullivan,4862321353,East Danielle,Fosterborough,2026-01-01,2026-01-07,-312.4823209975838,Delivered
SHP-482584,Ann Phillips,7418301077,Thompsonberg,Alyssaview,2026-05-28,2026-06-01,78.05,Delivered
SHP-159642,Angela Lopez,2461042543,Lake Michellefurt,New Johnton,2026-03-07,2026-03-12,220.21,Cancelled
SHP-429287,Joshua Oconnell,3799620568,South Kyle,Melissaland,2025-09-09,2025-09-15,304.48,In Transit
SHP-177804,Stephen Martin,2878930355,New Shellyland,,2026-04-10,2026-04-14,409.27,PENDING
SHP-925250,Aaron Cruz,9049270990,Costachester,Maciasstad,,2026-02-16,467.48,Delivered
SHP-488162,Michael Miles,7110082321,New Cynthiaside,East Steven,2025-10-23,2025-10-28,81.96,cancelled
SHP-621546,Casey James,4239406957,New Angelica,Charleston,2025-12-26,2025-12-30,103.68,Delivered
SHP-181247,Cynthia Rogers,7040502394,East Edwardfurt,Lake Jason,2025-12-18,2025-12-26,110.8,Cancelled
SHP-726979,James Hunter,4721365350,Stephensstad,North Kaylastad,2025-09-13,2025-09-16,12.36,In Transit
SHP-477880,Denise Colon,4485356009,Reidville,East Nathanmouth,2025-09-17,2025-09-19,359.44,Cancelled
SHP-107540,Mark Perez,6649827836,Port Markhaven,West Elizabeth,2025-10-01,,37.76,In-Transit
SHP-609232,George Shelton,1664847319,Ramseymouth,,2026-06-27,2026-07-02,112.76,Delivered
SHP-689444,Amber Garcia,7552001193,,Thomasville,2026-01-01,2026-01-10,353.36,Delivered
SHP-607122,Nina Ali,4252504650,Maldonadoshire,South Darrenland,2025-12-06,,-313.79232099758383,Cancelled
SHP-377370,Monica Herrera,3585650756,Millerport,Barbaraland,2025-07-28,2025-07-22,103.42,
SHP-934638,Aaron Ortiz,2357806226,New Michael,West Aaronfurt,2026-06-05,2026-06-13,38.8,Cancelled
SHP-223088,,4096932037,Michellechester,New Donald,2025-09-28,2025-10-03,302.2,
SHP-796212,Kara Schmidt,5871743247,Barajasside,Michaelmouth,2025-10-23,2025-10-25,445.41,In Transit
SHP-135207,Michael Brennan,8034746821,Lake Bradley,,2026-04-29,2026-05-07,-137.7623209975838,Delivered
SHP-629146,,3464975279,South Nancyview,New Virginiaville,2026-03-21,2026-03-30,186.64,Pending
SHP-705991,Brittney Olson,,West Meganstad,Port Joshuabury,2026-05-19,2026-05-26,297.99,Delivered
SHP-352415,Cindy Cannon,,Michaelmouth,Moyertown,2026-04-18,2026-04-22,349.34,In Transit
SHP-831063,Tammy Fernandez,6307626407,Kennethville,South Ashleyfort,2025-09-08,2025-09-03,190.58, Pending
SHP-103717,,8438486479,Lake Scott,Hoffmanville,2025-08-08,2025-08-22,39.26,In-Transit
SHP-953047,Anthony Bell,3179320310,Candiceburgh,Tiffanyport,2025-10-30,2025-10-25,330.08,In Transit
SHP-381444,Arthur Hamilton MD,8239941612,Pattonstad,Sherylfort,2026-02-26,2026-03-07,451.34,Pending
SHP-238890,Shirley Suarez,9592390865,Justinmouth,Cherylhaven,2025-07-13,2025-07-19,246.86,Delivered
SHP-694731,Emily Rios,7887950851,Wilkersonmouth,West Donald,2026-04-25,2026-04-18,,Cancelled
SHP-885386,Tammy Mcdowell,6915072151,West Ashleyville,Justinside,2026-01-30,2026-02-05,435.45,In Transit
SHP-321941,George Hobbs,7803990970,Karenchester,Maryfort,2025-07-17,2025-07-26,460.1,In Transit
SHP-195656,Anna Davis,3085816511,Lisaside,New Sueside,2025-11-15,2025-11-22,171.38,Cancelled
SHP-446239,Mary Martinez,3030106617,Williamchester,Richardport,2026-02-10,2026-02-23,239.12,Cancelled
SHP-230192,Elizabeth Martin,3781569954,West Stacey,Meghanview,2025-09-24,2025-09-29,414.18,Delivered
SHP-130271,Lisa Allen,8616379926,West Andrea,,2026-01-05,2026-01-11,322.53,Cancelled
SHP-280222,Lisa Collier,6231117883,Christopherville,South Brianna,2026-01-29,2026-02-10,131.84,Pending
SHP-764442,Connie Haynes,8846861559,Robertstad,Lake Marilynbury,2025-10-29,2025-11-07,,
SHP-736565,Donald Fischer,7105574449,West Russellport,Roseport,2025-07-28,2025-08-11,45.54,Delivered
SHP-493580,John Shields,2224336336,East Shannon,West Andrewview,2025-08-20,2025-09-02,84.35,Cancelled
SHP-299254,Autumn Key,8739238825,Rochaborough,Hermanside,,,320.13,Pending
SHP-412071,Michele Vaughn,5067594934,Stewartstad,Keithshire,2026-03-30,2026-04-10,416.91,Cancelled
SHP-239136,Michael Poole,3391179068,,Courtneyfurt,2026-01-01,2025-12-24,464.9,Pending
SHP-190707,Timothy James,1619623590,South Ericbury,Lake Peter,2026-05-16,2026-05-26,257.02,Delivered
SHP-365618,Matthew Mitchell,8528185058,Port Dianaview,Port Michealfurt,2026-04-25,,437.0,Pending
SHP-103642,Veronica Ford,4403845222,,South Michael,2025-10-25,2025-10-28,91.66,Cancelled
SHP-990136,Angela Cooper,4473306055,,Catherinefurt,2025-10-23,2025-10-31,70.31,Cancelled
SHP-379449,Andrea Harrison,8130494783,Port John,Claytonville,2026-05-04,,384.2,Delivered
SHP-941403,,7860121241,Port Daniel,Susanstad,2026-04-10,2026-04-13,-91.68232099758383,In Transit
SHP-699245,Lisa Martinez,9660523876,Thompsonburgh,Port James,2025-07-26,2025-08-04,289.65,In Transit
SHP-288627,Veronica Parks,7896596272,Lake Josephbury,Chaseborough,2025-09-05,2025-09-12,-358.8323209975838,Cancelled
SHP-667296,Barry Welch,8289454630,Wendyland,Goodville,2025-12-29,2026-01-07,68.01,Cancelled
SHP-926823,David Sandoval,5211261115,Port Bonniemouth,North Michael,2025-11-18,2025-12-02,101.09, Pending
SHP-938900,Brittany Shaffer,4545940090,South Victor,,,2025-10-28,127.5,Delivered
SHP-792509,David Arnold,2845919895,North Ricky,Carterbury,2025-10-30,2025-10-31,157.59,Delivered
SHP-338161,Jessica Diaz,7100408092,Erictown,New Lisaberg,2025-11-20,2025-11-27,227.03,Cancelled
SHP-988970,Jennifer Porter,5226368665,Johnberg,Mccormickland,2025-12-31,2026-01-03,272.41,In Transit
