transaction_id,customer_id,customer_name,email,phone,order_date,delivery_date,city,state,pincode,category,product_name,quantity,unit_price,discount_percent,gst,shipping_cost,payment_method,payment_status,order_status,currency,total_amount
TXN_1098,CUST_272,Indali Kala,fake_placeholder@example.com,9999999999,2026-06-01,2026-06-05,,Haryana,389994,Electronics,Electronics Product 89,5.0,0.0,20,1422.74,0,Credit Card,Refunded,Processing,INR,9326.86
TXN_1007,CUST_108,संमानित ब्रह्मा जोशी,संमानितब्रह्माजोशी41@example.com,+916513338726,2025-09-09,2025-09-13,Surendranagar Dudhrej,West Bengal,810801,Home,Home Product 18,,4609.11,20,1345.42,100,Net Banking,Pending,Cancelled,INR,8820.0
TXN_5731,CUST_141,Jacob Dube,jacobdube95@example.com,08467737826,2025-12-27,2025-12-31,Coimbatore,अंडमान और निकोबार,044997,Sports,Sports Product 64,1.0,543.51,0,507.16,100,UPI,Success,Processing,INR,3324.71
TXN_7796,CUST_165,Hardik S,hardiksharaf62@example.com,+912770632424,2025-09-27,2025-10-04,Chandrapur,Kerala,643611,Home,Home Product 53,1.0,0.0,0,469.35,0,UPI,Refunded,Processing,INR,3076.84
TXN_1066,CUST_278,Alka Kari,alkakari17@example.com,7289623091,2026-01-24,2026-01-30,Gandhidham,अंडमान और निकोबार,368970,Beauty,Beauty Product 23,1.0,3083.29,15,480.74,50,Cash on Delivery,Failed,Shipped,INR,3151.54
TXN_1195,CUST_267,वसन्ता मिश्रा,fake_placeholder@example.com,9999999999,2026-04-04,2026-04-10,चित्रकूट,दिल्ली,329456,Fashion,Fashion Product 17,1.0,2594.28,5,452.62,50,Net Banking,Success,Processing,INR,2967.19
TXN_1058,CUST_287,सम्मानसूचक शक्ति दासगुप्ता,सम्मानसूचकशक्तिदासगुप्ता67@example.com,+910278681447,2026-02-05,2026-02-11,,Bihar,727155,Home,Home Product 88,,3985.89,15,3058.21,50,Net Banking,Failed,Shipped,EUR,€222.76
TXN_8947,CUST_262,आदरसूचक कशोर देशपांडे,आदरसूचककशोरदेशपांडे71@example.com,03416389448,2025-09-17,2025-09-20,अलीगढ,Goa,179749,Fashion,Fashion Product 90,1.0,3264.93,0,1781.06,100,UPI,Pending,Shipped,INR,11675.85
TXN_1031,CUST_249,सम्मानसूचक मधुर पाटिल,सम्मानसूचकमधुरपाटिल71@example.com,05339636057,2025-07-12,2025-07-14,धर्मापुरी,Meghalaya,895171,Beauty,Beauty Product 26,1.0,1887.16,0,348.69,50,UPI,Pending,Delivered,INR,2285.85
TXN_7200,CUST_141,Jacob D,jacobdube95@example.com,08467737826,2025-12-27,2025-12-31,Coimbatore,अंडमान और निकोबार,044997,Sports,Sports Product 64,1.0,543.51,0,507.16,100,UPI,Success,Processing,USD,$40.06
TXN_1083,CUST_237,Vincent Borra,vincentborra62@example.com,09965047735,2025-11-06,2025-11-09,,हरियाणा,114262,Home,Home Product 80,1.0,0.0,10,1779.93,0,,Refunded,Shipped,INR,11668.45
TXN_1010,CUST_198,Tanay Toor,tanaytoor49@example.com,+915135427849,2025-09-24,2025-09-29,,Himachal Pradesh,824493,Beauty,Beauty Product 77,3.0,,0,2647.72,100,Credit Card,Failed,Processing,INR,17357.27
TXN_1064,CUST_130,सम्मानसूचक बल मैती,सम्मानसूचकबलमैती96@example.com,8358416878,2026-01-17,2026-01-22,अकोला,Madhya Pradesh,852398,Fashion,Fashion Product 34,2.0,3823.72,10,1256.89,100,Net Banking,Success,Shipped,INR,8239.59
TXN_1078,CUST_113,Wriddhish Nagy,fake_placeholder@example.com,9999999999,2025-10-29,2025-11-03,दादरा और नगर हवेली,उडीसा,932048,Home,Home Product 89,4.0,3314.34,0,2386.32,0,Net Banking,Pending,Processing,INR,15643.68
TXN_1086,CUST_300,संमानित श्रीपति बुरुाह,संमानितश्रीपतिबुरुाह34@example.com,05937526547,2026-04-15,2026-04-18,Gandhinagar,पश्चिमी बंगाल,939828,Sports,Sports Product 98,,3424.26,10,2236.92,100,Cash on Delivery,Failed,Cancelled,INR,14664.26
TXN_1166,CUST_268,कमल भटनागर,कमलभटनागर80@example.com,+911442703120,2026-05-04,2026-05-10,भद्रक,पंजाब,705120,Sports,Sports Product 53,5.0,685.37,0,616.83,0,Credit Card,Failed,Shipped,INR,4043.68
TXN_1189,CUST_266,भरत मजूमदार,आदरवाचकनेहाशुक्ला26@example.com,+919978772934,2025-07-11,2025-07-18,Kochi,Manipur,966055,Home,Home Product 51,1.0,3406.54,0,1857.53,100,UPI,Success,Shipped,INR,12177.15
TXN_1173,CUST_252,Yamini Nazareth,yamininazareth84@example.com,9755855665,2026-06-17,2026-06-23,Gandhinagar,तमिलनाडु,600490,Beauty,Beauty Product 46,1.0,536.8,0,492.12,50,UPI,Failed,Processing,INR,3226.12
TXN_1112,CUST_242,शोभा द्विवेदी,शोभाद्विवेदी8@example.com,04422096902,2025-12-27,2026-01-01,सभापतिने,Meghalaya,135521,Sports,Sports Product 81,3.0,3515.06,15,1622.41,50,,Success,Processing,INR,10635.81
TXN_1145,CUST_252,संमानित सुनील चवन,fake_placeholder@example.com,9999999999,2025-11-26,2025-11-27,,Uttarakhand,084887,Sports,Sports Product 83,2.0,3733.45,10,1218.64,50,Credit Card,Failed,Shipped,INR,7988.85
TXN_5093,CUST_144,Lila Vig,lilavig79@example.com,+914091570184,2025-09-06,2025-09-13,Bhagalpur,केरल,485714,Beauty,Beauty Product 64,5.0,1975.67,15,1529.39,100,Credit Card,Pending,Shipped,INR,10025.99
TXN_1147,CUST_111,Samuel Vasa,samuelvasa82@example.com,07700518449,2026-06-16,2026-06-20,Burhanpur,छत्तीसगढ,386557,Home,Home Product 42,1.0,2106.92,0,388.25,50,,Success,Processing,INR,2545.17
TXN_1033,CUST_145,Jagrati Prasad,jagratiprasad95@example.com,+913869222196,2025-08-04,2025-08-07,Ballia,Haryana,740748,Beauty,Beauty Product 95,2.0,0.0,0,621.23,50,Credit Card,Refunded,Shipped,INR,4072.49
TXN_8136,CUST_194,संमानित इ,संमानितइन्द्रजितकुमार79@example.com,01577245992,2026-01-10,2026-01-12,Aligarh,छत्तीसगढ,696393,Fashion,Fashion Product 27,4.0,0.0,20,694.06,50,Cash on Delivery,Refunded,Shipped,INR,4549.95
TXN_1125,CUST_189,दीपाली गोयलजी,fake_placeholder@example.com,9999999999,2026-04-16,2026-04-23,Hubli–Dharwad,Punjab,667600,Fashion,Fashion Product 40,1.0,1159.0,5,198.19,0,UPI,Success,Shipped,INR,1299.24
TXN_8561,CUST_129,Hema Garde,hemagarde98@example.com,+911815997062,2025-08-13,2025-08-16,अहमदनगर,Karnataka,688444,Sports,Sports Product 38,,4303.2,20,2496.64,100,Credit Card,Failed,Delivered,INR,16366.88
TXN_1039,CUST_149,Wazir Naik,wazirnaik54@example.com,+914026811775,2026-01-13,2026-01-19,Ambala,Punjab,700766,Beauty,Beauty Product 96,,3269.82,10,1068.42,50,Credit Card,Failed,Processing,EUR,€77.82
TXN_1129,CUST_215,सुनीता छेत्री,सुनीताछेत्री74@example.com,+910011972181,2025-12-19,2025-12-25,Ahmednagar,राजस्थान,012045,Fashion,Fashion Product 51,5.0,2640.33,5,2257.48,0,Cash on Delivery,Success,Processing,INR,14799.05
TXN_1006,CUST_236,पार्वती रंगन,पार्वतीरंगन94@example.com,3010310518,2025-11-21,2025-11-23,,Nagaland,376311,Fashion,Fashion Product 69,4.0,1714.77,20,987.71,0,Net Banking,Success,Shipped,INR,6474.97
TXN_1027,CUST_194,Lucky Bora,luckybora37@example.com,+914994717464,2026-02-15,2026-02-17,अम्बाजी,Maharashtra,013990,Beauty,Beauty Product 79,3.0,3252.55,20,1405.1,0,Net Banking,Success,Shipped,INR,9211.22
TXN_1153,CUST_120,रानी श्रीवास्तवजी,रानीश्रीवास्तवजी42@example.com,00127961143,2025-12-24,2025-12-30,फतेहपुर,Telangana,984902,Home,Home Product 49,4.0,3211.8,15,1965.62,0,Cash on Delivery,Failed,Cancelled,INR,12885.74
TXN_1177,CUST_282,Megha Hayre,fake_placeholder@example.com,9999999999,2026-06-30,2026-07-07,भागलपुर,बिहार,597927,Beauty,Beauty Product 76,4.0,1170.23,20,674.05,0,,Failed,Shipped,INR,4418.79
TXN_1121,CUST_197,Gautam Mane,gautammane69@example.com,00293333468,2026-06-02,2026-06-08,Bhalswa Jahangir Pur,Rajasthan,349446,Fashion,Fashion Product 74,5.0,4250.09,10,3442.57,0,Cash on Delivery,Success,Cancelled,INR,22567.98
TXN_1191,CUST_185,बृजेश बलासुब्रमानियमजी,बृजेशबलासुब्रमानियमजी37@example.com,08039551240,2025-08-09,2025-08-13,सभापतिने,Odisha,914504,Sports,Sports Product 77,4.0,4501.67,5,3097.14,100,Cash on Delivery,Failed,Shipped,INR,20303.49
TXN_1162,CUST_234,पद्मिनी बलासुब्रमानियमजी,पद्मिनीबलासुब्रमानियमजी53@example.com,+912023413261,2025-10-04,2025-10-11,Bhalswa Jahangir Pur,Andhra Pradesh,149216,Beauty,Beauty Product 83,1.0,0.0,10,190.36,100,Credit Card,Refunded,Cancelled,INR,1247.93
TXN_1067,CUST_113,Vanya Vora,vanyavora33@example.com,02785854973,2025-10-26,2025-11-02,Proddatur,मणिपुर,375758,Beauty,Beauty Product 24,1.0,2303.18,0,432.57,100,Credit Card,Pending,Shipped,INR,2835.75
TXN_1157,CUST_201,Wyatt Lanka,fake_placeholder@example.com,9999999999,2025-07-28,2025-08-03,Ongole,उडीसा,728463,Home,Home Product 41,,616.61,5,114.44,50,Cash on Delivery,Success,Processing,INR,750.22
TXN_1198,CUST_246,शीला सक्सेनाजी,शीलासक्सेनाजी69@example.com,+919022784699,2026-06-01,2026-06-03,दादरा और नगर हवेली,पंजाब,519098,Fashion,Fashion Product 51,5.0,2488.28,5,2145.48,100,Cash on Delivery,Success,Cancelled,INR,14064.81
TXN_1132,CUST_172,Warhi Gandhi,warhigandhi33@example.com,05354083866,2025-12-14,2025-12-20,Jaunpur,दादरा और नगर हवेली,751701,Sports,Sports Product 29,3.0,0.0,5,453.65,50,,Refunded,Shipped,INR,2973.92
TXN_8714,CUST_448,निशा Garde,निशाgarde@example.com,0490471281,2025-08-13,2025-08-16,अहमदनगर,Karnataka,688444,Sports,Sports Product 38,,4303.2,20,2496.64,100,Credit Card,Failed,Delivered,INR,16366.88
TXN_8756,CUST_129,Hema G,hemagarde98@example.com,+911815997062,2025-08-13,2025-08-16,अहमदनगर,Karnataka,688444,Sports,Sports Product 38,,4303.2,20,2496.64,100,Credit Card,Failed,Delivered,EUR,€181.85
TXN_6721,CUST_262,आदरसूचक क,आदरसूचककशोरदेशपांडे71@example.com,03416389448,2025-09-17,2025-09-20,अलीगढ,Goa,179749,Fashion,Fashion Product 90,1.0,3264.93,0,1781.06,100,UPI,Pending,Shipped,USD,$140.67
TXN_1073,CUST_219,दमयंती कौल,दमयंतीकौल89@example.com,09087406403,2025-11-29,2025-12-02,Bhusawal,छत्तीसगढ,704622,Beauty,Beauty Product 44,5.0,0.0,15,2241.39,0,Credit Card,Refunded,Processing,INR,14693.55
TXN_1040,CUST_153,धवल घोष,fake_placeholder@example.com,9999999999,2026-04-16,2026-04-23,अमरपुर,West Bengal,736576,Sports,Sports Product 87,,,15,1207.93,100,UPI,Refunded,Shipped,INR,7918.68
TXN_1005,CUST_159,आदरसूचक चण्ड चतुर्वेदी,आदरसूचकचण्डचतुर्वेदी13@example.com,+917182278248,2025-07-31,2025-07-26,चिपलुन,Tamil Nadu,578713,Home,Home Product 68,3.0,1231.94,10,598.72,0,,Success,Shipped,INR,3924.96
TXN_1035,CUST_297,Laksh Chatterjee,lakshchatterjee36@example.com,07095214562,2026-04-25,2026-04-28,Panvel,सिक्किम,745171,Sports,Sports Product 61,5.0,1990.17,0,1791.15,0,Net Banking,Pending,Processing,INR,11742.0
TXN_5299,CUST_134,Ria Gandhi,riagandhi6@example.com,+918432225913,2025-08-25,2025-08-28,,Meghalaya,392603,Sports,Sports Product 53,2.0,4236.73,15,1314.44,100,Cash on Delivery,Pending,Shipped,INR,8616.88
TXN_1123,CUST_183,Netra Nagarajan,netranagarajan22@example.com,0744666099,2026-04-14,2026-04-21,Korba,उत्तर प्रदेश,824172,Sports,Sports Product 68,3.0,0.0,0,484.15,0,Cash on Delivery,Refunded,Delivered,INR,3173.89
TXN_1000,CUST_263,Anvi Konda,anvikonda15@example.com,+911819600133,2026-04-29,2026-04-30,Bongaigaon,मणिपुर,026542,Home,Home Product 41,2.0,0.0,0,424.05,100,Credit Card,Refunded,Delivered,INR,2779.89
TXN_6533,CUST_448,मुक्ता देशपांडे,मुक्तादेशपांडे@example.com,05442094940,2025-09-17,2025-09-20,अलीगढ,Goa,179749,Fashion,Fashion Product 90,1.0,3264.93,0,1781.06,100,UPI,Pending,Shipped,INR,11675.85
TXN_1130,CUST_282,Chakradev Andra,chakradevandra11@example.com,2557941552,2025-12-15,2025-12-20,Silchar,सिक्किम,621202,Fashion,Fashion Product 15,1.0,3684.3,15,1145.4,100,UPI,Failed,Processing,INR,7508.71
TXN_1104,CUST_298,जया पवारजी,जयापवारजी19@example.com,+910603850506,2026-04-05,2026-04-12,दादरा और नगर हवेली,Maharashtra,241038,Sports,Sports Product 10,3.0,,5,2238.13,0,Net Banking,Pending,Delivered,INR,14672.2
TXN_5012,CUST_175,Balvan D,balvandevan30@example.com,08729825952,2026-05-12,2026-05-15,फतहपुर,लक्षद्वीप,055169,Fashion,Fashion Product 48,1.0,3686.08,5,639.32,50,Credit Card,Success,Processing,INR,4191.1
TXN_1061,CUST_121,Mitesh Garg,miteshgarg31@example.com,00010943969,2025-12-15,2025-12-21,Bongaigaon,पंजाब,647102,Beauty,Beauty Product 72,5.0,0.0,15,3010.48,100,Cash on Delivery,Refunded,Delivered,INR,888888.0
TXN_1095,CUST_287,Yutika Mall,yutikamall17@example.com,07590175186,2026-06-19,2026-06-20,Rajpur Sonarpur,सिक्किम,589297,Home,Home Product 51,4.0,1290.38,5,900.62,100,Net Banking,Failed,Shipped,INR,5904.06
TXN_6674,CUST_423,हर्शद नारायण,हर्शदनारायण@example.com,+912847818913,2025-11-17,2025-11-19,देवास,हिमाचल प्रदेश,579727,Fashion,Fashion Product 42,3.0,1976.55,0,1076.34,50,Cash on Delivery,Pending,Shipped,INR,7055.99
TXN_1139,CUST_264,विजया भट्टाचार्य,विजयाभट्टाचार्य62@example.com,+918182688615,2025-12-27,2026-01-03,Bathinda,तमिलनाडु,987801,Home,Home Product 80,1.0,3701.3,20,532.99,0,,Success,Shipped,INR,3494.03
TXN_1020,CUST_218,Azaan Kota,azaankota32@example.com,+919232719374,2026-07-07,2026-07-14,फतेहपुर,Tripura,190496,Electronics,Electronics Product 66,5.0,940.59,20,677.22,0,Credit Card,Pending,Shipped,INR,4439.58
TXN_7216,CUST_104,Caleb K,calebkumer48@example.com,+914394070164,2025-09-17,2025-09-20,अगरतला,त्रिपुरा,815798,Electronics,Electronics Product 63,5.0,1884.55,0,1714.1,100,Cash on Delivery,Failed,Shipped,INR,11236.85
TXN_1180,CUST_284,Anthony Baral,anthonybaral7@example.com,4576205554,2026-01-25,2026-01-30,Ghaziabad,त्रिपुरा,325621,Beauty,Beauty Product 31,1.0,3330.61,20,2407.04,50,UPI,Pending,Delivered,INR,15779.48
TXN_1114,CUST_129,Hema Garde,hemagarde98@example.com,+911815997062,2025-08-13,2025-08-16,अहमदनगर,Karnataka,688444,Sports,Sports Product 38,,4303.2,20,2496.64,100,Credit Card,Failed,Delivered,INR,16366.88
TXN_1084,CUST_298,गणेश शर्मा,गणेशशर्मा53@example.com,05412126788,2026-02-14,2026-02-15,अगरतला,Kerala,604661,Home,Home Product 70,4.0,2237.35,5,1539.35,50,Credit Card,Pending,Processing,INR,10091.28
TXN_1025,CUST_166,भारत बोस,भारतबोस27@example.com,+911671902294,2026-02-28,2026-03-06,Kochi,मणिपुर,749649,Home,Home Product 40,3.0,2281.04,10,1117.59,50,Net Banking,Success,Delivered,INR,7326.4
TXN_1178,CUST_200,Kashvi Dugal,kashvidugal79@example.com,+910392405147,2026-04-02,2026-04-08,भद्रक,Telangana,884879,Home,Home Product 85,3.0,2782.92,20,1220.22,100,Cash on Delivery,Failed,Cancelled,INR,7999.23
TXN_1034,CUST_151,आदरवाचक संजित सिन्हा,आदरवाचकसंजितसिन्हा59@example.com,07436713695,2026-03-11,2026-03-14,अगरतला,सिक्किम,974395,Home,Home Product 39,,606.49,5,216.42,50,Net Banking,Failed,Delivered,INR,1418.75
TXN_1041,CUST_268,Prisha Munshi,prishamunshi11@example.com,02711116152,2025-09-05,2025-09-08,Bhilai,उत्तर प्रदेश,494519,Sports,Sports Product 94,5.0,2008.35,5,1735.14,100,Net Banking,Pending,Shipped,INR,11374.8
TXN_1113,CUST_253,Shaurya Krish,shauryakrish40@example.com,04100676267,2025-10-16,2025-10-19,चिपलुन,गुजरात,271040,Electronics,Electronics Product 83,5.0,1457.32,15,1114.85,0,Credit Card,Failed,Processing,INR,7308.46
TXN_1050,CUST_224,प्रभाकर खत्री,fake_placeholder@example.com,9999999999,2026-04-25,2026-04-29,अन्तर्गत,Uttarakhand,065379,Home,Home Product 95,4.0,,15,2300.4,0,Credit Card,Refunded,Delivered,INR,15080.39
TXN_1092,CUST_127,इन्दिरा खत्री,इन्दिराखत्री31@example.com,08876767721,2026-02-14,2026-02-18,Jalna,Himachal Pradesh,279788,Sports,Sports Product 55,5.0,1831.43,10,1483.46,0,Cash on Delivery,Failed,Delivered,INR,9724.9
TXN_1076,CUST_189,सम्मानात्मक देवदास सिन्हा,prishatandon53@example.com,06856624628,2025-12-04,2025-12-07,लखनऊ,Jharkhand,086688,Home,Home Product 95,,4359.8,10,715.29,50,Cash on Delivery,Failed,Cancelled,INR,4689.11
TXN_1172,CUST_105,चण्ड झाजी,चण्डझाजी12@example.com,1413811386,2026-05-10,2026-05-14,Hajipur,Odisha,195761,Sports,Sports Product 68,2.0,1468.15,10,475.68,0,,Failed,Cancelled,INR,3118.35
TXN_5328,CUST_165,Hardik Sharaf,hardiksharaf62@example.com,+912770632424,2025-09-27,2025-10-04,Chandrapur,Kerala,643611,Home,Home Product 53,1.0,0.0,0,469.35,0,UPI,Refunded,Processing,INR,3076.84
TXN_1181,CUST_246,Wridesh Dua,wrideshdua90@example.com,09578232983,2026-05-29,2026-05-30,Loni,Maharashtra,518812,Fashion,Fashion Product 12,1.0,0.0,5,1316.55,50,UPI,Refunded,Cancelled,INR,8630.71
TXN_1060,CUST_146,देवदान गुरुंगजी,देवदानगुरुंगजी63@example.com,+918922680182,2026-03-02,2026-03-04,अन्तर्गत,मणिपुर,143842,Home,Home Product 43,3.0,1758.46,20,777.65,100,Net Banking,Success,Shipped,USD,$61.42
TXN_1068,CUST_244,Megha Pai,meghapai39@example.com,00415747338,2025-11-12,2025-11-13,,Punjab,083301,Fashion,Fashion Product 25,1.0,0.0,20,2854.8,100,UPI,Refunded,Cancelled,INR,18714.8
TXN_1015,CUST_282,Bhavini Kade,bhavinikade40@example.com,09577738721,2025-12-30,2026-01-03,अम्बाजी,Sikkim,320037,Home,Home Product 66,5.0,2531.69,5,2164.59,0,Credit Card,Failed,Delivered,INR,14190.12
TXN_1008,CUST_201,संमानित नीरव मैती,संमानितनीरवमैती83@example.com,+916064746872,2025-07-29,2025-08-02,Bellary,Odisha,009788,Fashion,Fashion Product 43,2.0,0.0,20,481.63,100,,Refunded,Cancelled,INR,3157.34
TXN_1140,CUST_169,Balveer Nagi,balveernagi58@example.com,+916484085887,2026-06-07,2026-06-12,जिससेबेलारी,Karnataka,288013,Fashion,Fashion Product 65,1.0,4758.86,5,822.77,50,Net Banking,Success,Cancelled,INR,5393.69
TXN_1077,CUST_294,Samar Narayanan,samarnarayanan71@example.com,05183046990,2026-04-03,2026-04-04,,Meghalaya,403317,Beauty,Beauty Product 21,3.0,0.0,0,892.33,50,Credit Card,Refunded,Cancelled,INR,5849.7
TXN_1126,CUST_297,शंतनु पटेल,शंतनुपटेल81@example.com,+910335421689,2026-06-22,2026-06-26,अजमेर,Jharkhand,898562,Beauty,Beauty Product 82,5.0,2520.07,20,1832.45,100,Net Banking,Failed,Shipped,INR,12012.73
TXN_1106,CUST_289,Shivani Shukla,shivanishukla54@example.com,01853747411,2025-10-16,2025-10-21,Madanapalle,Gujarat,135680,Electronics,Electronics Product 18,4.0,0.0,10,1649.17,100,Credit Card,Refunded,Shipped,EUR,€120.12
TXN_1014,CUST_294,Chaitanya Sarin,chaitanyasarin69@example.com,8356159514,2026-02-04,2026-02-11,भागलपुर,राजस्थान,662994,Fashion,Fashion Product 26,4.0,4760.82,5,3265.4,50,Cash on Delivery,Pending,Shipped,INR,21406.52
TXN_1090,CUST_249,Pushti Ramachandran,pushtiramachandran19@example.com,3341918255,2026-03-03,2026-03-05,Raipur,लक्षद्वीप,969155,Beauty,Beauty Product 91,3.0,2568.07,0,1395.76,50,,Pending,Delivered,INR,9149.97
TXN_1146,CUST_246,पार्वती कदम,पार्वतीकदम54@example.com,+917881658039,2025-11-27,2025-11-29,Amroha,Goa,503731,Electronics,Electronics Product 77,3.0,0.0,20,365.57,100,Credit Card,Refunded,Cancelled,INR,2396.51
TXN_1142,CUST_282,Elijah Parmar,elijahparmar84@example.com,04914766072,2026-02-14,2026-02-17,Katni,मध्य प्रदेश,088210,Fashion,Fashion Product 27,1.0,0.0,15,292.02,100,UPI,Refunded,Cancelled,INR,-100.0
TXN_1138,CUST_296,Ronith Hari,ronithhari37@example.com,02122816064,2026-01-13,2026-01-20,अन्तर्गत,अरूणाचल प्रदेश,202590,Beauty,Beauty Product 74,1.0,2383.97,5,2038.29,0,UPI,Failed,Delivered,EUR,€148.47
TXN_1158,CUST_298,आदरवाचक अनुपम पिल्लई,आदरवाचकअनुपमपिल्लई34@example.com,02718750036,2025-12-18,2025-12-24,Mirzapur,जम्मू और कश्मीर,479552,Beauty,Beauty Product 37,5.0,1785.1,15,1365.6,0,Credit Card,Pending,Delivered,INR,8952.27
TXN_1141,CUST_113,नारायण जयरामन,नारायणजयरामन51@example.com,+912075011024,2026-03-13,2026-03-18,Rampur,त्रिपुरा,650618,Home,Home Product 40,4.0,4975.36,10,3224.03,0,Credit Card,Failed,Delivered,INR,21135.33
TXN_1032,CUST_190,Mohammed Borde,mohammedborde72@example.com,05961586578,2025-11-09,2025-11-16,,मणिपुर,117240,Beauty,Beauty Product 89,1.0,0.0,5,1595.75,0,UPI,Refunded,Delivered,INR,10461.04
TXN_1174,CUST_295,संजित अरोरा,fake_placeholder@example.com,9999999999,2026-04-18,2026-04-21,अखनूर,Himachal Pradesh,344196,Electronics,Electronics Product 61,1.0,3066.27,5,533.33,50,,Success,Cancelled,INR,3496.29
TXN_1159,CUST_215,Kashish Patla,kashishpatla23@example.com,07292931438,2026-05-07,2026-05-13,अलीगढ,Uttar Pradesh,026728,Beauty,Beauty Product 21,3.0,3505.28,0,1910.85,100,Net Banking,Failed,Shipped,INR,12526.69
TXN_1160,CUST_282,सम्मानसूचक मञ्जुला नारायण,fake_placeholder@example.com,9999999999,2026-05-06,2026-05-12,चक्रधरपुर,उत्तर प्रदेश,159399,Fashion,Fashion Product 56,1.0,0.0,5,1290.27,0,UPI,Refunded,Delivered,INR,8458.45
TXN_1046,CUST_212,श्यामल अरोराजी,fake_placeholder@example.com,9999999999,2026-06-07,2026-06-13,Davanagere,Punjab,277997,Home,Home Product 40,1.0,2011.31,20,868.89,0,UPI,Pending,Shipped,INR,5696.03
TXN_5912,CUST_190,Mohammed B,mohammedborde72@example.com,05961586578,2025-11-09,2025-11-16,,मणिपुर,117240,Beauty,Beauty Product 89,1.0,0.0,5,1595.75,0,UPI,Refunded,Delivered,INR,10461.04
TXN_6417,CUST_419,Abhiram दासगुप्ता,abhiramदासगुप्ता@example.com,+916181753443,2026-02-05,2026-02-11,,Bihar,727155,Home,Home Product 88,,3985.89,15,3058.21,50,Net Banking,Failed,Shipped,INR,20048.24
TXN_1017,CUST_118,सम्मानसूचक प्रताप सिन्हा,सम्मानसूचकप्रतापसिन्हा66@example.com,07347143455,2025-07-31,2025-08-02,Saharanpur,Madhya Pradesh,166587,Home,Home Product 95,4.0,1464.07,5,1019.42,100,Cash on Delivery,Pending,Cancelled,INR,6682.89
TXN_6175,CUST_152,कुमारी न,कुमारीनारायण39@example.com,+913303070534,2025-11-17,2025-11-19,देवास,हिमाचल प्रदेश,579727,Fashion,Fashion Product 42,3.0,1976.55,0,1076.34,50,Cash on Delivery,Pending,Shipped,INR,7055.99
TXN_1122,CUST_104,सम्मानसूचक ओम प्रधान,सम्मानसूचकओमप्रधान59@example.com,09691085899,2026-01-23,2026-01-24,पाकाला,Meghalaya,454443,Home,Home Product 83,4.0,,15,1894.14,50,Credit Card,Refunded,Delivered,INR,12417.16
TXN_6886,CUST_287,सम्मानसूचक श,सम्मानसूचकशक्तिदासगुप्ता67@example.com,+910278681447,2026-02-05,2026-02-11,,Bihar,727155,Home,Home Product 88,,3985.89,15,3058.21,50,Net Banking,Failed,Shipped,INR,20048.24
